Country;Distance_Non-EU
Austria;1013,00
Belgium;1755,00
Bulgaria;0,00
Cyprus;95,00
Czechia;1186,00
Germany;480,00
Denmark;515,00
Estonia;0,00
Greece;0,00
Spain;0,00
Finland;0,00
France;51,00
Croatia;759,00
Hungary;766,00
Ireland;0,00
Iceland;853,00
Italy;210,00
Liechteinstein;1114,00
Lithuania;0,00
Luxembourg;373,00
Latvia;0,00
Montenegro;577,00
Malta;324,00
Netherlands;140,00
Norway;0,00
Poland;0,00
Portugal;217,00
Romania;257,00
Sweden;325,00
Switzerland;370,00
Slovenia;1045,00
Slovakia;969,00
